# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)               |                platform_dma_configure() {
 0) + 27.909 us   |                  of_dma_configure();
 0) + 31.071 us   |                }
 0)               |                driver_sysfs_add() {
 0)   1.150 us    |                  blocking_notifier_call_chain();
 0) + 14.567 us   |                  sysfs_create_link();
 0) + 25.322 us   |                  sysfs_create_link();
 0) + 46.613 us   |                }
 0)               |                platform_drv_probe() {
 0)   8.321 us    |                  of_clk_set_defaults();
 0)   1.365 us    |                  dev_pm_domain_attach();
 0) ! 101.581 us  |                  sram_probe();
 0) ! 117.870 us  |                }
 0)               |                device_add_groups() {
 0)   1.258 us    |                  sysfs_create_groups();
 0)   4.586 us    |                }
 0)   1.462 us    |                pinctrl_init_done();
 0)               |                driver_bound() {
 0)   1.272 us    |                  _raw_spin_lock();
 0)   2.681 us    |                  device_links_driver_bound();
 0)   2.351 us    |                  device_pm_check_callbacks();
 0)   2.568 us    |                  driver_deferred_probe_del();
 0)   1.409 us    |                  blocking_notifier_call_chain();
 0)   1.515 us    |                  dev_uevent_filter();
 0)   1.394 us    |                  dev_uevent_name();
 0)   3.324 us    |                  kmem_cache_alloc_trace();
 0)   2.268 us    |                  __kmalloc();
 0) + 24.387 us   |                  dev_uevent();
 0)   1.464 us    |                  mutex_lock();
 0)   1.650 us    |                  netlink_has_listeners();
 0)   1.277 us    |                  consume_skb();
 0)   1.175 us    |                  mutex_unlock();
 0)   1.650 us    |                  kfree();
 0)   1.645 us    |                  kfree();
 0) + 80.940 us   |                }
 0)               |                __wake_up() {
 0)   2.921 us    |                  __wake_up_common_lock();
 0)   5.375 us    |                }
 0) ! 345.528 us  |              }
 0)               |              ktime_get() {
 0)   1.155 us    |                jiffies_read();
 0)   3.657 us    |              }
 0)               |              printk() {
 0)               |                vprintk_func() {
 0) + 22.597 us   |                  vprintk_default();
 0) + 26.014 us   |                }
 0) + 29.092 us   |              }
 0)               |              __pm_runtime_idle() {
 0)   1.262 us    |                _raw_spin_lock_irqsave();
 0)               |                rpm_idle() {
 0)   1.148 us    |                  rpm_check_suspend_allowed();
 0)   3.494 us    |                }
 0)   1.197 us    |                _raw_spin_unlock_irqrestore();
 0) + 10.677 us   |              }
 0)   1.212 us    |              __pm_runtime_idle();
 0)               |              pm_runtime_put_suppliers() {
 0)               |                device_links_read_lock() {
 0)   1.221 us    |                  __srcu_read_lock();
 0)   3.520 us    |                }
 0)               |                device_links_read_unlock() {
 0)   1.187 us    |                  __srcu_read_unlock();
 0)   3.456 us    |                }
 0) + 10.838 us   |              }
 0) ! 449.218 us  |            }
 0) ! 472.417 us  |          }
 0)   1.207 us    |          _raw_spin_lock_irqsave();
 0)   1.275 us    |          _raw_spin_unlock_irqrestore();
 0)   1.199 us    |          _raw_spin_lock();
 0) ! 511.582 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.220 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.169 us    |            rpm_check_suspend_allowed();
 0)   3.443 us    |          }
 0)   1.175 us    |          _raw_spin_unlock_irqrestore();
 0) + 12.670 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.207 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.276 us    |            rpm_check_suspend_allowed();
 0)   3.522 us    |          }
 0)   1.183 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.415 us   |        }
 0)   1.165 us    |        mutex_unlock();
 0) ! 554.557 us  |      }
 0) ! 557.035 us  |    }
 0)   1.353 us    |    mutex_lock();
 0)   1.175 us    |    mutex_unlock();
 0) ! 565.586 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.340 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.345 us    |          _raw_spin_lock_irqsave();
 0)   1.540 us    |          rpm_resume();
 0)   1.174 us    |          _raw_spin_unlock_irqrestore();
 0)   8.755 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.218 us    |          _raw_spin_lock_irqsave();
 0)   1.205 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.199 us    |                  _raw_spin_lock_irqsave();
 0)   3.492 us    |                  __of_match_node.part.0();
 0)   1.221 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.396 us   |                }
 0) + 12.683 us   |              }
 0) + 15.437 us   |            }
 0) + 17.946 us   |          }
 0)   1.174 us    |          _raw_spin_lock_irqsave();
 0)   1.183 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.187 us    |                  _raw_spin_lock_irqsave();
 0)   4.420 us    |                  __of_match_node.part.0();
 0)   1.206 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.540 us   |                }
 0) + 13.760 us   |              }
 0) + 16.091 us   |            }
 0)   1.470 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)               |              pm_runtime_get_suppliers() {
 0)               |                device_links_read_lock() {
 0)   1.312 us    |                  __srcu_read_lock();
 0)   3.605 us    |                }
 0)               |                device_links_read_unlock() {
 0)   1.393 us    |                  __srcu_read_unlock();
 0)   3.668 us    |                }
 0) + 10.897 us   |              }
 0)               |              __pm_runtime_resume() {
 0)   1.160 us    |                _raw_spin_lock_irqsave();
 0)   1.235 us    |                rpm_resume();
 0)   1.187 us    |                _raw_spin_unlock_irqrestore();
 0)   8.163 us    |              }
 0)               |              pm_runtime_barrier() {
 0)   1.363 us    |                _raw_spin_lock_irq();
 0)   1.871 us    |                __pm_runtime_barrier();
 0)   6.814 us    |              }
 0)               |              ktime_get() {
 0)   1.182 us    |                jiffies_read();
 0)   3.603 us    |              }
 0)               |              really_probe() {
 0)               |                device_links_check_suppliers() {
 0)   1.348 us    |                  mutex_lock();
 0)   1.193 us    |                  mutex_unlock();
 0)   6.044 us    |                }
 0)               |                pinctrl_bind_pins() {
 0)   4.510 us    |                  devm_kmalloc();
 0) + 14.579 us   |                  devm_pinctrl_get();
 0)   4.502 us    |                  devm_kfree();
 0) + 29.770 us   |                }
 0)               |                platform_dma_configure() {
 0) + 25.750 us   |                  of_dma_configure();
 0) + 28.193 us   |                }
 0)               |                driver_sysfs_add() {
 0)   1.192 us    |                  blocking_notifier_call_chain();
 0) + 14.337 us   |                  sysfs_create_link();
 0) + 11.445 us   |                  sysfs_create_link();
 0) + 32.265 us   |                }
 0)               |                platform_drv_probe() {
 0)   6.794 us    |                  of_clk_set_defaults();
 0)   1.240 us    |                  dev_pm_domain_attach();
 0) + 82.071 us   |                  sram_probe();
 0) + 95.837 us   |                }
 0)               |                device_add_groups() {
 0)   2.967 us    |                  sysfs_create_groups();
 0)   5.531 us    |                }
 0)   1.225 us    |                pinctrl_init_done();
 0)               |                driver_bound() {
 0)   1.322 us    |                  _raw_spin_lock();
 0)   2.253 us    |                  device_links_driver_bound();
 0)   2.330 us    |                  device_pm_check_callbacks();
 0)   2.215 us    |                  driver_deferred_probe_del();
 0)   1.252 us    |                  blocking_notifier_call_chain();
 0)   1.220 us    |                  dev_uevent_filter();
 0)   1.200 us    |                  dev_uevent_name();
 0)   3.336 us    |                  kmem_cache_alloc_trace();
 0)   2.415 us    |                  __kmalloc();
 0) + 23.915 us   |                  dev_uevent();
 0)   1.329 us    |                  mutex_lock();
 0)   1.378 us    |                  netlink_has_listeners();
 0)   1.247 us    |                  consume_skb();
 0)   1.194 us    |                  mutex_unlock();
 0)   1.633 us    |                  kfree();
 0)   1.624 us    |                  kfree();
 0) + 77.418 us   |                }
 0)               |                __wake_up() {
 0)   2.923 us    |                  __wake_up_common_lock();
 0)   5.206 us    |                }
 0) ! 294.229 us  |              }
 0)               |              ktime_get() {
 0)   1.158 us    |                jiffies_read();
 0)   3.625 us    |              }
 0)               |              printk() {
 0)               |                vprintk_func() {
 0) + 15.903 us   |                  vprintk_default();
 0) + 19.005 us   |                }
 0) + 21.590 us   |              }
 0)               |              __pm_runtime_idle() {
 0)   1.198 us    |                _raw_spin_lock_irqsave();
 0)               |                rpm_idle() {
 0)   1.303 us    |                  rpm_check_suspend_allowed();
 0)   3.630 us    |                }
 0)   1.199 us    |                _raw_spin_unlock_irqrestore();
 0) + 10.660 us   |              }
 0)   1.347 us    |              __pm_runtime_idle();
 0)               |              pm_runtime_put_suppliers() {
 0)               |                device_links_read_lock() {
 0)   1.175 us    |                  __srcu_read_lock();
 0)   3.658 us    |                }
 0)               |                device_links_read_unlock() {
 0)   1.188 us    |                  __srcu_read_unlock();
 0)   3.491 us    |                }
 0) + 10.812 us   |              }
 0) ! 384.812 us  |            }
 0) ! 407.067 us  |          }
 0)   1.213 us    |          _raw_spin_lock_irqsave();
 0)   1.163 us    |          _raw_spin_unlock_irqrestore();
 0)   1.190 us    |          _raw_spin_lock();
 0) ! 447.247 us  |        }
 0)               |        __pm_runtime_idle() {
